Country Code,State Code,ZIP/Postcode,City,Rate %
US,OK,73731,DACOMA,5
US,OK,74026,DAVENPORT,9.5
US,OK,73530,DAVIDSON,10.5
US,OK,73030,DAVIS,9.5
US,OK,73039,DAVIS,9.5
US,OK,74636,DEER CREEK,8.75
US,OK,73129,DEL CITY,9
US,OK,73135,DEL CITY,9
US,OK,73155,DEL CITY,9
US,OK,73165,DEL CITY,9
US,OK,74027,DELAWARE,8.5
US,OK,74342,DELAWARE,6.2
US,OK,74368,DELAWARE,6.2
US,OK,74028,DEPEW,9.667
US,OK,73531,DEVOL,6.5
US,OK,74431,DEWAR,10.083
US,OK,74437,DEWAR,10.083
US,OK,73646,DEWEY,6.25
US,OK,73659,DEWEY,6.25
US,OK,74029,DEWEY,8.9
US,OK,73002,DIBBLE,10
US,OK,73031,DIBBLE,10
US,OK,73052,DIBBLE,10
US,OK,73641,DILL CITY,9.5
US,OK,74340,DISNEY,9.75
US,OK,73032,DOUGHERTY,8.5
US,OK,73733,DOUGLAS,6.85
US,OK,73734,DOVER,9.75
US,OK,73735,DRUMMOND,7.85
US,OK,73532,DUKE,9.125
US,OK,73055,DUNCAN,8.7
US,OK,73534,DUNCAN,8.7
US,OK,73536,DUNCAN,8.7
US,OK,74701,DURANT,9.375
US,OK,74702,DURANT,9.375
US,OK,74729,DURANT,9.375
US,OK,74730,DURANT,9.375
US,OK,74839,DUSTIN,9.5
US,OK,73033,EAKLY,9
US,OK,73025,EDMOND,8.25
US,OK,73034,EDMOND,8.25
US,OK,73083,EDMOND,8.25
US,OK,73022,EL RENO,8.85
US,OK,73538,ELGIN,8.875
US,OK,73644,ELK CITY,9.35
US,OK,73648,ELK CITY,9.35
US,OK,73539,ELMER,5.625
US,OK,73701,ENID,9.1
US,OK,73702,ENID,9.1
US,OK,73703,ENID,9.1
US,OK,73705,ENID,9.1
US,OK,73706,ENID,9.1
US,OK,73645,ERICK,9.85
US,OK,74432,EUFAULA,10
US,OK,74637,FAIRFAX,8.75
US,OK,74343,FAIRLAND,8.85
US,OK,73736,FAIRMONT,7.85
US,OK,73737,FAIRVIEW,10.25
US,OK,74935,FANSHAWE,9.5
US,OK,74966,FANSHAWE,9.5
US,OK,73840,FARGO,9.5
US,OK,73540,FAXON,6.875
US,OK,73541,FLETCHER,8.875
US,OK,73938,FORGAN,9.5
US,OK,73038,FORT COBB,10
US,OK,74959,FORT COFFEE,9.5
US,OK,74434,FORT GIBSON,10.75
US,OK,73841,FORT SUPPLY,8.4
US,OK,74735,FORT TOWSON,10
US,OK,74756,FORT TOWSON,10
US,OK,73433,FOSTER,9.25
US,OK,73434,FOSTER,9.25
US,OK,74017,FOYIL,10
US,OK,74031,FOYIL,10
US,OK,74844,FRANCIS,9.375
US,OK,73542,FREDERICK,10
US,OK,73842,FREEDOM,7
US,OK,73843,GAGE,9.5
US,OK,74936,GANS,7.917
US,OK,73738,GARBER,8.85
US,OK,73720,GARFIELD,4.85
US,OK,74736,GARVIN,9.25
US,OK,73844,GATE,8.5
US,OK,73040,GEARY,8.875
US,OK,73436,GENE AUTRY,8.375
US,OK,73543,GERONIMO,7.875
US,OK,74032,GLENCOE,9.975
US,OK,74008,GLENPOOL,9.967
US,OK,74033,GLENPOOL,9.967
US,OK,74037,GLENPOOL,9.967
US,OK,74066,GLENPOOL,9.967
US,OK,73739,GOLTRY,9.5
US,OK,73939,GOODWELL,8.95
US,OK,74435,GORE,9.917
US,OK,73041,GOTEBO,10
US,OK,73544,GOULD,10.5
US,OK,73005,GRACEMONT,10
US,OK,73042,GRACEMONT,10
US,OK,73546,GRANDFIELD,9.5
US,OK,73547,GRANITE,9.5
US,OK,74646,GRANT,5.75
US,OK,73043,GREENFIELD,8.375
US,OK,74344,GROVE,10.2
US,OK,74345,GROVE,10.2
US,OK,73942,GUYMON,9.95
US,OK,74546,HAILEYVILLE,9
